domain,email,trade,city,source_url,scraped_at
foxandsons.ca,csr@foxandsons.ca,electricians,Kelowna,https://foxandsons.ca/,2026-04-01T04:17:11.719229+00:00
aryuscorp.ca,jeff@aryuscorp.ca,electricians,Kelowna,https://aryuscorp.ca/,2026-04-01T04:17:19.609135+00:00
aryuscorp.ca,test@gmail.com,electricians,Kelowna,https://aryuscorp.ca/contact,2026-04-01T04:17:23.964988+00:00
duoteck.ca,impallari@gmail.com,electricians,Kelowna,https://duoteck.ca/,2026-04-01T04:18:20.106797+00:00
proelectricltd.ca,info@proelectricltd.ca,electricians,Kelowna,https://proelectricltd.ca/,2026-04-01T04:18:23.905481+00:00
pfitztech.ca,pfitztech@gmail.com,electricians,Kelowna,https://pfitztech.ca/,2026-04-01T04:18:34.993337+00:00
valuecontracting.ca,info@valuecontracting.ca,electricians,Kelowna,https://valuecontracting.ca/,2026-04-01T04:18:50.252920+00:00
valuecontracting.ca,mike@valuecontracting.ca,electricians,Kelowna,https://valuecontracting.ca/,2026-04-01T04:18:50.252920+00:00
valuecontracting.ca,alistair@valuecontracting.ca,electricians,Kelowna,https://valuecontracting.ca/,2026-04-01T04:18:50.252920+00:00
kamloops.foxandsons.ca,csr@foxandsons.ca,electricians,Kelowna,https://kamloops.foxandsons.ca/,2026-04-01T04:18:59.270790+00:00
westcana.com,info@westcana.com,electricians,Kelowna,https://westcana.com/,2026-04-01T04:19:28.035883+00:00
integrityelectric.net,office.integrityelectric@gmail.com,electricians,Kelowna,https://integrityelectric.net/,2026-04-01T04:20:07.721952+00:00
blackandmcdonald.com,info@blackandmcdonald.com,electricians,Kelowna,https://blackandmcdonald.com/contact,2026-04-01T04:20:31.413107+00:00
