domain,email,trade,city,source_url,scraped_at
frankandsonselectric.com,jeremy@frankandsonselectric.com,electricians,Vancouver,https://frankandsonselectric.com/,2026-04-01T04:12:55.405482+00:00
frankandsonselectric.com,office@frankandsonselectric.com,electricians,Vancouver,https://frankandsonselectric.com/,2026-04-01T04:12:55.405482+00:00
toaelectrical.com,npm@toaelectrical.com,electricians,Vancouver,https://toaelectrical.com/,2026-04-01T04:13:03.416101+00:00
ceicanada.com,info@ceicanada.com,electricians,Vancouver,https://ceicanada.com/,2026-04-01T04:13:08.794465+00:00
mottelectric.com,mottinfo@mottelectric.com,electricians,Vancouver,https://mottelectric.com/,2026-04-01T04:13:16.372860+00:00
mottelectric.com,downtown@mottelectric.com,electricians,Vancouver,https://mottelectric.com/,2026-04-01T04:13:16.372860+00:00
mottelectric.com,mti@mottelectric.com,electricians,Vancouver,https://mottelectric.com/,2026-04-01T04:13:16.372860+00:00
triggerelectric.ca,info@triggerelectric.ca,electricians,Vancouver,https://triggerelectric.ca/,2026-04-01T04:13:28.188128+00:00
electrichero.ca,info@electrichero.ca,electricians,Vancouver,https://electrichero.ca/,2026-04-01T04:13:55.510698+00:00
biscoelectric.ca,billscowby@gmail.com,electricians,Vancouver,https://biscoelectric.ca/,2026-04-01T04:14:17.540476+00:00
