domain,email,trade,city,source_url,scraped_at
milani.ca,info@milani.ca,hvac,Vancouver,https://milani.ca/,2026-04-01T04:25:07.129712+00:00
milani.ca,customerservice@milani.ca,hvac,Vancouver,https://milani.ca/contact,2026-04-01T04:25:12.238378+00:00
thecoolguys.ca,team@thecoolguys.ca,hvac,Vancouver,https://thecoolguys.ca/,2026-04-01T04:25:38.743245+00:00
terramechanical.ca,office@terramechanical.ca,hvac,Vancouver,https://terramechanical.ca/,2026-04-01T04:26:20.990275+00:00
markellmechanical.com,info@markellmechanical.com,hvac,Vancouver,https://markellmechanical.com/,2026-04-01T04:26:39.192586+00:00
mckimmechanical.com,info@mckimmechanical.com,hvac,Vancouver,https://mckimmechanical.com/,2026-04-01T04:26:42.592683+00:00
spearssales.com,raymond@spearssales.com,hvac,Vancouver,https://spearssales.com/,2026-04-01T04:26:57.901274+00:00
spearssales.com,coralyn@spearssales.com,hvac,Vancouver,https://spearssales.com/contact,2026-04-01T04:27:01.375057+00:00
spearssales.com,portkells@spearssales.com,hvac,Vancouver,https://spearssales.com/contact,2026-04-01T04:27:01.375057+00:00
spearssales.com,farid@spearssales.com,hvac,Vancouver,https://spearssales.com/contact,2026-04-01T04:27:01.375057+00:00
spearssales.com,servicecoordinator@spearssales.com,hvac,Vancouver,https://spearssales.com/contact,2026-04-01T04:27:01.375057+00:00
spearssales.com,counterparts2@spearssales.com,hvac,Vancouver,https://spearssales.com/contact,2026-04-01T04:27:01.375057+00:00
spearssales.com,invoice@spearssales.com,hvac,Vancouver,https://spearssales.com/contact,2026-04-01T04:27:01.375057+00:00
spearssales.com,monica@spearssales.com,hvac,Vancouver,https://spearssales.com/contact,2026-04-01T04:27:01.375057+00:00
spearssales.com,counterparts1@spearssales.com,hvac,Vancouver,https://spearssales.com/contact,2026-04-01T04:27:01.375057+00:00
spearssales.com,merlin@spearssales.com,hvac,Vancouver,https://spearssales.com/contact,2026-04-01T04:27:01.375057+00:00
spearssales.com,ron@spearssales.com,hvac,Vancouver,https://spearssales.com/contact,2026-04-01T04:27:01.375057+00:00
spearssales.com,admin@spearssales.com,hvac,Vancouver,https://spearssales.com/contact,2026-04-01T04:27:01.375057+00:00
ridgewaymechanical.ca,info@ridgewaymechanical.ca,hvac,Vancouver,https://ridgewaymechanical.ca/,2026-04-01T04:27:51.629633+00:00
