domain,email,trade,city,source_url,scraped_at
bcwide.ca,info@bcwide.ca,hvac,Winnipeg,https://bcwide.ca/,2026-04-01T04:36:20.462177+00:00
spearssales.com,raymond@spearssales.com,hvac,Winnipeg,https://spearssales.com/,2026-04-01T04:36:48.115731+00:00
spearssales.com,portkells@spearssales.com,hvac,Winnipeg,https://spearssales.com/contact,2026-04-01T04:36:52.919769+00:00
spearssales.com,servicecoordinator@spearssales.com,hvac,Winnipeg,https://spearssales.com/contact,2026-04-01T04:36:52.919769+00:00
spearssales.com,admin@spearssales.com,hvac,Winnipeg,https://spearssales.com/contact,2026-04-01T04:36:52.919769+00:00
spearssales.com,counterparts2@spearssales.com,hvac,Winnipeg,https://spearssales.com/contact,2026-04-01T04:36:52.919769+00:00
spearssales.com,monica@spearssales.com,hvac,Winnipeg,https://spearssales.com/contact,2026-04-01T04:36:52.919769+00:00
spearssales.com,counterparts1@spearssales.com,hvac,Winnipeg,https://spearssales.com/contact,2026-04-01T04:36:52.919769+00:00
spearssales.com,merlin@spearssales.com,hvac,Winnipeg,https://spearssales.com/contact,2026-04-01T04:36:52.919769+00:00
spearssales.com,ron@spearssales.com,hvac,Winnipeg,https://spearssales.com/contact,2026-04-01T04:36:52.919769+00:00
spearssales.com,coralyn@spearssales.com,hvac,Winnipeg,https://spearssales.com/contact,2026-04-01T04:36:52.919769+00:00
spearssales.com,invoice@spearssales.com,hvac,Winnipeg,https://spearssales.com/contact,2026-04-01T04:36:52.919769+00:00
spearssales.com,farid@spearssales.com,hvac,Winnipeg,https://spearssales.com/contact,2026-04-01T04:36:52.919769+00:00
nickelheating.ca,admin@nickelheating.ca,hvac,Winnipeg,https://nickelheating.ca/contact,2026-04-01T04:37:10.753260+00:00
davidsonbros.ca,info@davidsonbros.ca,hvac,Winnipeg,https://davidsonbros.ca/,2026-04-01T04:37:16.709926+00:00
milani.ca,info@milani.ca,hvac,Winnipeg,https://milani.ca/,2026-04-01T04:37:41.718023+00:00
milani.ca,customerservice@milani.ca,hvac,Winnipeg,https://milani.ca/contact,2026-04-01T04:37:46.788820+00:00
penguinhvac.ca,info@penguinhvac.ca,hvac,Winnipeg,https://penguinhvac.ca/,2026-04-01T04:38:12.127031+00:00
jjmmechanicalgroup.ca,jjm@jjmmechanicalgroup.ca,hvac,Winnipeg,https://jjmmechanicalgroup.ca/,2026-04-01T04:38:23.911710+00:00
jjmmechanicalgroup.ca,jjmmechanicalgroup@gmail.com,hvac,Winnipeg,https://jjmmechanicalgroup.ca/,2026-04-01T04:38:23.911710+00:00
jjmmechanicalgroup.ca,accounts@jjmmechanicalgroup.ca,hvac,Winnipeg,https://jjmmechanicalgroup.ca/,2026-04-01T04:38:23.911710+00:00
