domain,email,trade,city,source_url,scraped_at
wordofmouthpainting.ca,adrien@wordofmouthpainting.ca,painters,Victoria,https://wordofmouthpainting.ca/contact,2026-04-01T03:56:26.067848+00:00
impressionspaintingvictoria.ca,info@impressionspaintingvictoria.ca,painters,Victoria,https://impressionspaintingvictoria.ca/,2026-04-01T03:56:42.498647+00:00
painting-victoria.com,info@painting-victoria.com,painters,Victoria,https://painting-victoria.com/,2026-04-01T03:57:03.345805+00:00
studentworks.ca,info@studentworks.ca,painters,Victoria,https://studentworks.ca/,2026-04-01T03:57:11.745462+00:00
proworkspainting.com,painting@proworkspainting.com,painters,Victoria,https://proworkspainting.com/,2026-04-01T03:57:22.297061+00:00
capitalcitydrywall.ca,info@capitalcitydrywall.ca,painters,Victoria,https://capitalcitydrywall.ca/,2026-04-01T03:57:37.887569+00:00
dan-mark.ca,dan-mark@shaw.ca,painters,Victoria,https://dan-mark.ca/,2026-04-01T03:57:58.802745+00:00
colourperfectpainting.ca,colourperfectpaint@gmail.com,painters,Victoria,https://colourperfectpainting.ca/,2026-04-01T03:58:13.196964+00:00
blackdogpainting.ca,info@blackdogpainting.ca,painters,Victoria,https://blackdogpainting.ca/,2026-04-01T03:58:46.418583+00:00
blackdogpainting.ca,blackdogpainting@shaw.ca,painters,Victoria,https://blackdogpainting.ca/,2026-04-01T03:58:46.418583+00:00
premierpainting.ca,info@premierpainting.ca,painters,Victoria,https://premierpainting.ca/,2026-04-01T03:59:24.522966+00:00
apwpainting.ca,apwpainting@shaw.ca,painters,Victoria,https://apwpainting.ca/,2026-04-01T03:59:55.207865+00:00
