domain,email,trade,city,source_url,scraped_at
civicpaving.ca,civicpaving@gmail.com,paving+contractors,Kelowna,https://civicpaving.ca/,2026-04-01T05:24:43.004063+00:00
securitypaving.ca,securitypaving@shaw.ca,paving+contractors,Kelowna,https://securitypaving.ca/,2026-04-01T05:24:53.419814+00:00
lakesidepaving.ca,lakesidepaving@gmail.com,paving+contractors,Kelowna,https://lakesidepaving.ca/,2026-04-01T05:25:58.990040+00:00
powerpaving.ca,powerpavingkenny@gmail.com,paving+contractors,Kelowna,https://powerpaving.ca/contact,2026-04-01T05:26:17.115463+00:00
powerpaving.ca,powerpavingrick@gmail.com,paving+contractors,Kelowna,https://powerpaving.ca/contact,2026-04-01T05:26:17.115463+00:00
powerpaving.ca,powerpavingrod@gmail.com,paving+contractors,Kelowna,https://powerpaving.ca/contact,2026-04-01T05:26:17.115463+00:00
advancedpavetech.com,malcolm@advancedpavetech.com,paving+contractors,Kelowna,https://advancedpavetech.com/,2026-04-01T05:26:30.990481+00:00
petersbros.ca,info@petersbros.ca,paving+contractors,Kelowna,https://petersbros.ca/,2026-04-01T05:27:04.847489+00:00
asphaltsolutions.ca,asphaltsolutionsadestimator@gmail.com,paving+contractors,Kelowna,https://asphaltsolutions.ca/,2026-04-01T05:27:29.712091+00:00
valleyhardscapes.ca,info@valleyhardscapes.ca,paving+contractors,Kelowna,https://valleyhardscapes.ca/,2026-04-01T05:27:36.755034+00:00
valleyhardscapes.ca,sample@gmail.com,paving+contractors,Kelowna,https://valleyhardscapes.ca/contact,2026-04-01T05:27:41.122869+00:00
