domain,email,trade,city,source_url,scraped_at
topsideroofing.ca,phillip@topsideroofing.ca,roofers,Burnaby,https://topsideroofing.ca/,2026-04-01T04:40:25.582689+00:00
bestjrroofingltd.ca,jr_roofing68@yahoo.ca,roofers,Burnaby,https://bestjrroofingltd.ca/,2026-04-01T04:40:29.720176+00:00
cambieroofing.com,info@cambieroofing.com,roofers,Burnaby,https://cambieroofing.com/,2026-04-01T04:40:35.449249+00:00
uprisehomeimprovements.ca,info@uprisehomeimprovements.ca,roofers,Burnaby,https://uprisehomeimprovements.ca/,2026-04-01T04:40:49.831982+00:00
smw280.org,info@smw280.org,roofers,Burnaby,https://smw280.org/,2026-04-01T04:40:59.602116+00:00
smw280.org,example@gmail.com,roofers,Burnaby,https://smw280.org/contact,2026-04-01T04:41:04.189709+00:00
tavesroofing.com,info@tavesroofing.com,roofers,Burnaby,https://tavesroofing.com/,2026-04-01T04:41:08.077423+00:00
roofixinc.com,admin@roofixinc.com,roofers,Burnaby,https://roofixinc.com/contact,2026-04-01T04:41:26.924826+00:00
bondroofing.ca,contact@bondroofing.ca,roofers,Burnaby,https://bondroofing.ca/,2026-04-01T04:42:32.368966+00:00
bondroofing.ca,accounting@bondroofing.ca,roofers,Burnaby,https://bondroofing.ca/contact-us,2026-04-01T04:42:36.518693+00:00
protorchroofing.ca,contact@protorchroofing.ca,roofers,Burnaby,https://protorchroofing.ca/,2026-04-01T04:42:54.961949+00:00
protorchroofing.ca,james.smith@gmail.com,roofers,Burnaby,https://protorchroofing.ca/contact,2026-04-01T04:42:59.629163+00:00
