domain,email,trade,city,source_url,scraped_at
bestjrroofingltd.ca,jr_roofing68@yahoo.ca,roofers,Vancouver,https://bestjrroofingltd.ca/,2026-04-01T04:37:22.352548+00:00
chisholmroofing.ca,chisholmroofing@telus.net,roofers,Vancouver,https://chisholmroofing.ca/,2026-04-01T04:37:26.255347+00:00
chisholmroofing.ca,info@chisholmroofing.ca,roofers,Vancouver,https://chisholmroofing.ca/contact-us,2026-04-01T04:37:30.384355+00:00
hbroofing.ca,info@hbroofing.ca,roofers,Vancouver,https://hbroofing.ca/,2026-04-01T04:37:34.190037+00:00
smw280.org,info@smw280.org,roofers,Vancouver,https://smw280.org/,2026-04-01T04:37:59.493432+00:00
smw280.org,example@gmail.com,roofers,Vancouver,https://smw280.org/contact,2026-04-01T04:38:05.697986+00:00
rankinskyline.com,info@rankinskyline.com,roofers,Vancouver,https://rankinskyline.com/,2026-04-01T04:38:23.484674+00:00
cambieroofing.com,info@cambieroofing.com,roofers,Vancouver,https://cambieroofing.com/,2026-04-01T04:38:44.825900+00:00
topgunroofing.ca,info@topgunroofing.ca,roofers,Vancouver,https://topgunroofing.ca/,2026-04-01T04:39:04.912388+00:00
peakmasters.ca,marc@peakmasters.ca,roofers,Vancouver,https://peakmasters.ca/,2026-04-01T04:39:33.774857+00:00
